Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IBC_BR,IBC_BR_pred,Erro
2013,2,0.0013598782798331887,0.0013998303299833698,0.0014838160301648723,-0.001066263336273253,146.22763885784977,146.3253642110954,0.0328878191242964
2013,3,0.0013564820524282711,0.0013985738977531365,0.0014732562422845965,-0.0010420880042822797,146.36864304963387,146.3884835745491,0.006165496678445037
2013,4,0.0013532221022657025,0.0013972716356670082,0.001462962243867349,-0.0010187570696580947,146.49837745025724,146.49900373613417,0.02022360044773025
2013,5,0.0013500819091886624,0.0013959268261024395,0.001452938738731637,-0.0009962881207331814,146.6169111009044,146.61180988550814,0.006970979949805301
2013,6,0.0013470280127487744,0.0013945448561051316,0.0014431742970690109,-0.0009746511191017701,146.72454125514543,146.71987347547875,0.005917005494410577
2013,7,0.0013440381878384935,0.0013931677176102022,0.0014336702006966019,-0.0009537738774685055,146.82162696388778,146.8367035298195,0.01457258704799114
2013,8,0.001341117714439766,0.0013918737675706484,0.0014244596799539665,-0.0009335969758440939,146.9087760218405,146.8749196517562,0.01055905341333699
2013,9,0.0013382909080655993,0.0013907354075925235,0.0014155731926514742,-0.0009140642910662123,146.98671079735286,146.9542040825974,0.014809130272926074
2013,10,0.0013355974785315924,0.0013898081896095331,0.001407029173514371,-0.000895118027214178,147.056197139544,147.04087443758334,0.010069457510554177
2013,11,0.0013331229083336186,0.001389153544628412,0.001398855528115857,-0.000876714355818967,147.11779904357175,147.0816264440426,0.007167551975739145
2013,12,0.0013309818710132216,0.00138876157862119,0.0013910908043486654,-0.0008589989370958274,147.17126108776637,147.122964377458,0.009688630495559672
2014,1,0.0013293608641542188,0.0013884929134741297,0.0013839075087223596,-0.0008426774836306467,147.2099209477915,147.12952980320972,0.04705637017968817
2014,2,0.0013285923382142333,0.001388029717296196,0.0013778974384465814,-0.0008298877055300029,147.12790384878747,147.03878202442863,0.10820262976053345
2014,3,0.001329598349156218,0.0013888983759423141,0.0013768876226501808,-0.000827859135383107,147.0118740684704,146.89647701070754,0.19507597674626806
2014,4,0.001333033392214543,0.001392432531703641,0.0013824507187411275,-0.0008373561960680048,146.85629899168205,146.71065831714284,0.22703278091007484
2014,5,0.0013395718481797835,0.0013988281096016509,0.0013943931070975767,-0.0008563397539687906,146.650515315216,145.60893023453949,0.7226588636807691
2014,6,0.0013476760808118174,0.0014056520063461487,0.0014085104018826036,-0.0008787556054264064,146.3839049059616,144.59007012084996,0.8270917571403492
2014,7,0.0013554443132820578,0.0014113513739821065,0.0014217479310260637,-0.0009012661145490331,146.05215742213343,144.90543220351378,0.70615817570201
2014,9,0.0013621740079566111,0.0014161589826266667,0.0014337331391103653,-0.0009230055031535784,145.65805393879373,145.02348599721003,0.2638791775977925
2014,10,0.0013682994434539963,0.0014211077096997894,0.0014453808543643777,-0.0009438463063762105,145.2106672768027,144.842804668068,0.24442771659841186
2014,11,0.001374328549063404,0.001427299382188205,0.0014569425008003414,-0.0009620264621879312,144.72079942791717,143.82727165478198,0.6627062536354982
2014,12,0.0013803518486802942,0.0014347924262950965,0.0014679066386651786,-0.0009765818798821483,144.20216123323345,142.58602833754165,0.9446421744111301
2015,1,0.0013865671239815976,0.0014429731969519805,0.0014784782652351094,-0.0009889193962125155,143.66263451572397,141.72313627036849,0.8498497215923885
2015,2,0.0013932577145797345,0.0014511783963566467,0.0014893250607131054,-0.0010015428617772325,143.10265616442135,141.88666956921034,0.5348383866823202
2015,3,0.0014003451155830062,0.0014582755054668678,0.001501125572527142,-0.0010175862256548954,142.51880465617737,141.32065849542383,0.40309854549740354
2015,4,0.0014070129570536293,0.0014633220119667596,0.00151341038444672,-0.0010374961200448284,141.90766124879056,140.93453550619307,0.3798995204410335
2015,5,0.00141246668043408,0.0014669222367240115,0.0015242715597256467,-0.001056179035574119,141.26810285525013,140.6863172624049,0.19113751023040762
2015,6,0.0014164716303878414,0.0014703827099501006,0.0015324931595085255,-0.0010689429721096506,140.60626246656435,140.14879148929,0.12654624621568591
2015,7,0.0014187621505733416,0.0014730294815209026,0.0015373355986951721,-0.00107583908120123,139.9329353785351,139.72414645930297,0.030463314520487277
2015,8,0.0014189465198061173,0.0014732240211627113,0.0015382860000059042,-0.0010785475069573012,139.2614881404239,139.13594345506615,0.08719654969259422
2015,9,0.0014176311788711498,0.0014710564498487647,0.0015364968743166944,-0.0010790716317110528,138.61007973765177,138.58838707848014,0.04533392350527116
2015,10,0.0014154105503461278,0.0014675011021857568,0.0015328746950338263,-0.001077488886224184,137.99350239684145,138.00876969416214,0.10973577904453825
2015,11,0.00141274608092686,0.0014636103808247725,0.0015281505446040691,-0.0010735350064527724,137.4221586096869,137.39356142874385,0.0888192627485097
2015,12,0.0014100917186034997,0.0014602280890690124,0.0015230434144316094,-0.0010673288480242368,136.89805242092132,136.91548474314345,0.07897699409614237
2016,1,0.0014074426260055515,0.001457336053926164,0.0015175935992772446,-0.0010590435557596787,136.41888376161162,136.64742055054134,0.08437236316184112
2016,2,0.0014045627646462272,0.001454447202071176,0.0015116629331443788,-0.0010493201451005757,135.98129913996866,136.19328550070728,0.09636509557743761
2016,3,0.001401159818666325,0.001450827272957612,0.0015049333529080584,-0.0010387590997702012,135.58645915318743,135.93547237994213,0.12051386391584382
2016,4,0.0013966742669698589,0.0014455886308388532,0.0014966893546490157,-0.0010271976063118526,135.24269192188302,135.61574156855002,0.14170276886843178
