Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ICE,ICE_pred,Erro
2013,2,0.001397788242572047,0.0013789175256112348,0.0015130456423135868,-0.0011904901051900312,103.51579624806668,99.48025447252836,1.4788618510211546
2013,3,0.0013806965502424343,0.0013805262846836165,0.001494046442907771,-0.0011381863878171894,103.25652678517943,100.83397048924472,1.370001697446454
2013,4,0.001365623732228626,0.0013841234875245495,0.0014776668506930977,-0.0010886547006373885,102.95227037100989,101.75601126603785,1.7546644212096252
2013,5,0.0013524502938078349,0.00138934060529439,0.001463502153951131,-0.0010416125958089668,102.61047925946895,101.46600669043893,1.6495240717172328
2013,6,0.001340072088200194,0.0013941728882133093,0.0014497718900201516,-0.0009964735558210763,102.25209652562934,101.09616900610956,2.224786510546436
2013,7,0.001335567800147861,0.0014033348123183758,0.0014381803539873686,-0.0009467693084629372,101.79532286580363,100.4394835832902,3.0534965255668918
2013,8,0.0013349488911211687,0.0014132277480442567,0.0014234153484904922,-0.0008871793423639911,101.19388507343331,99.95189795764539,2.5615123421148165
2013,9,0.0013334449593731265,0.001416720468218117,0.0014039409272082384,-0.000828582887450326,100.63459062757903,100.38025504729015,0.6079420849798863
2013,10,0.0013312000555066432,0.0014124905250653753,0.0013818431635114342,-0.0007812325107298212,100.25901334986209,99.8641288802701,1.2038811406064378
2013,11,0.0013293042068325252,0.0014008909614064658,0.001362733036898188,-0.000752155403975978,99.74538725564445,100.02270124521995,0.1670989467452488
2013,12,0.0013261840226690038,0.0013847507650568886,0.0013507996555852857,-0.0007506998547050931,99.11681122532734,98.32372737672073,0.8201209120012731
2014,1,0.0013207631300527923,0.0013658462332032455,0.0013469250204342005,-0.0007716484139577225,98.5262590477976,97.37480040328461,1.2639972749212263
2014,2,0.0013155201412370318,0.0013479095709182797,0.001358951087907764,-0.0008029880798497677,97.70404961348669,95.49637889582576,1.4738987789091214
2014,3,0.0013175808071100826,0.001340157152668935,0.001392603948947832,-0.0008463233365560239,96.44074055083712,95.02617173281463,0.5122035194339968
2014,4,0.0013076391237111643,0.0013379389560344095,0.0014213145862023815,-0.000889064214233303,94.96126251586936,93.7464416113187,0.8907018303921971
2014,5,0.0012746957900391933,0.0013484832480448066,0.00210286788744829,-0.0009048450798223872,93.26173400543033,92.95589833218843,1.3697352490279133
2014,6,0.0012499934699209225,0.0014063428787868875,0.0029350257723038215,-0.0011074729101383102,91.38465645170483,91.27074083419387,0.9391047030338873
