Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IE-E,IE-E_pred,Erro
2013,2,0.0014395599458297496,0.0014256057302627855,0.0015715388091238633,-0.0012474136363448125,103.67081949415443,100.6837767244216,3.3068005231514492
2013,3,0.0014071022499326767,0.0014126834750610633,0.001529173499713067,-0.001164993277409572,103.66884950913396,99.35262999967735,4.362928200812218
2013,4,0.00137110760377567,0.001387948048649007,0.0014843899800769723,-0.001098392149802601,103.72463139300324,99.1207394371625,3.6377940195551415
2013,5,0.001331716625987964,0.0013570938676761726,0.0014292485887201082,-0.0010164372514657259,103.81238181512924,99.59156129658047,4.492108646676988
2013,6,0.001313715031254883,0.0013677670820910703,0.0014177654904688345,-0.0009620840608708059,102.9461988694264,100.72800553018058,1.5882420693187642
2013,7,0.0013315046479623208,0.0014216525339722428,0.001445171907058415,-0.0009326011393194367,101.66872417166962,100.87267707125112,1.4844769692590996
2013,8,0.0013377018134909714,0.0014332933326757428,0.0014558353388903168,-0.000956106172819459,100.63993680631894,98.83907931100158,3.656145501118092
2013,9,0.0013530226276380003,0.0014365273175666856,0.001438128329440761,-0.0008872464051983609,100.59438233742355,96.42951858708918,2.539574837196523
2013,10,0.0013524017366881547,0.0014256831796635883,0.0013933202577286392,-0.0007454541819163989,99.9728499223404,97.54553199103094,0.8919919614046771
2013,11,0.0013336334573262338,0.0014254624582522996,0.0013281164518452225,-0.0006420453221752699,99.25625996949299,97.71678912651132,1.3402973191819056
2013,12,0.001306643580241929,0.0013870838916958937,0.0012816525479395465,-0.0006323753359281781,98.86976337007282,97.02593244530144,0.9010838720828956
2014,1,0.0013114621579856467,0.0013676079809718435,0.001308869878206041,-0.0007144011579448325,98.34200408793711,97.02754879092063,0.5539568135550381
2014,2,0.0013308062563351275,0.0013510227043797174,0.0013709494926583215,-0.000880780198512027,98.12877926336051,95.52791789964203,1.2764716345116316
2014,3,0.0013152576377459364,0.001312209976879672,0.001386506706662822,-0.0009735369311120655,97.39775973891025,95.33720505296694,2.903997434569516
2014,4,0.0013000005099913982,0.0013279449351804573,0.0013663838052338931,-0.0009145051456202919,95.37811037574963,94.23975895484939,1.1545805688359196
2014,5,0.0013320793092595892,0.0013982716574993427,0.0013906579176795704,-0.0008542311575036956,92.25630922316672,92.3258865720234,0.5176447703743973
2014,6,0.001422887945503872,0.0014986731758085702,0.00152850820804996,-0.0009973950752918596,90.18267850811831,88.98413835572697,2.014129671677679
2014,7,0.0013236851879057704,0.0014228487432892205,0.0013423056363430184,-0.0006735950674768672,89.28613232779772,92.87691622443086,0.9490338817028559
2014,9,0.004811547420950744,0.004887507612826285,0.004730225048612941,-0.003160800605890615,88.58641975991571,87.59349806598121,0.1993384849640104
2014,10,0.0048437680072459105,0.004830967237612511,0.0047636560831586915,-0.003323132770407272,87.57468648672514,86.74297002934115,0.23018609868421688
2014,11,0.004907042207586936,0.0048581983164571905,0.0047516232167209215,-0.0032528486134583393,86.7634021091803,86.53854542847249,0.06515683292030107
2014,12,0.005066839285868192,0.004834486684562847,0.004711360819167843,-0.0031997294911562998,85.34710387453613,85.9805419490164,0.0910886036727621
2015,1,0.004891886710459422,0.004925154426188554,0.004860173003022579,-0.003396139995270697,83.41836926473604,85.29390148780323,0.3528804983545424
2015,2,0.0013683756495425012,0.0014523393292863558,0.0014726579161412146,-0.0009449818845826223,80.50000000000023,84.60525947084582,1.2644542874682028
