Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA-E,ISA-E_pred,Erro
2013,2,0.0013748944724693859,0.0013838086803872373,0.001519022355093039,-0.0011972868804149106,102.8142743802488,102.35643541469076,0.2771317894972174
2013,3,0.0013678103272025735,0.0013875947207387406,0.001502525629819209,-0.0011458838922443258,102.57360704827587,102.2693127896203,0.09861670116725635
2013,4,0.0013612675329579382,0.001391229964647292,0.0014859673017796084,-0.0010945822713254547,102.32024972051903,102.13159125721079,0.07039475773460521
2013,5,0.0013551153713967316,0.001394475247264958,0.0014691013320436176,-0.001043242312478634,102.0544983681423,101.9808494483584,0.07529436478984354
2013,6,0.0013490509138554389,0.0013969624100460837,0.0014516213346169096,-0.0009918268979975107,101.77942767307019,101.77874913854986,0.06271352365152813
2013,7,0.0013428295526983218,0.0013985390216361211,0.0014334260811990397,-0.0009403970510622419,101.49739908062972,101.46604240199174,0.0750694733495475
2013,8,0.0013364983812270365,0.0013995521987291368,0.0014150223888693856,-0.0008896550609117035,101.20815580809963,101.16944135494622,0.08935819406128034
2013,9,0.0013308902412951006,0.001401123457587141,0.0013979035676540685,-0.0008413590786535434,100.75290153435505,100.80279046897873,0.3263492007886318
2013,10,0.0013286682877676624,0.001397085785008318,0.0013865375774395523,-0.0008167277070776226,100.22382786009258,100.38972497690456,0.06182521523500952
2013,11,0.0013273276880701654,0.001390583660845544,0.001378306839701446,-0.0008060079777496448,99.62983761226313,99.64606720256486,0.15841886672310138
2013,12,0.0013253749463852777,0.0013823997968581323,0.0013702627259566961,-0.0008005228989991478,98.946157220302,98.48692974960964,0.2005424424209788
2014,1,0.0013234533812907358,0.0013754028749241396,0.001364053268125224,-0.0007975467502677189,98.12862630924684,97.32702567364684,0.5128154215793972
2014,2,0.001322632719854597,0.0013723721348498897,0.0013620148882453034,-0.0007984613140616734,97.13325335230647,95.7713006069351,1.050009970553819
2014,3,0.0013235370975222104,0.001373175143959316,0.0013662932562485848,-0.0008100881872300692,95.98470091550134,93.6611204503514,1.1045473388391283
2014,4,0.001326510892834945,0.001379027833601098,0.0013772541900016239,-0.0008293398743463103,94.73768990454417,91.73313620197612,1.2329098204575188
2014,5,0.0013317225737758329,0.001393032626806599,0.0013900639311527907,-0.0008387101623047813,93.44662079555538,91.27871095805882,0.9939622679301408
2014,6,0.00133745089254457,0.001416258340802271,0.001397247873843017,-0.0008203099751317974,92.12962803915002,91.12517942473532,1.9688611566180918
2014,7,0.0013457723179562471,0.001440832144314804,0.001403142996461696,-0.0007944099190835125,90.77916789065156,90.53986703512528,0.8707798077599295
2014,9,0.0013538340030973602,0.0014381913361712587,0.0014233444174264844,-0.0008481471721930823,89.3519400472882,88.69089301350292,0.3441878542313618
2014,10,0.0013664345098464588,0.0014446552396580445,0.0014473229571174303,-0.0008968020729672547,87.811433052307,87.67079162012044,0.2445153299163449
2014,11,0.0013800286827039222,0.0014554694156950843,0.001466353869356884,-0.0009257408249178584,86.1613112967785,86.5771546153246,0.6120868921892908
2014,12,0.00138968172118557,0.0014610479488997498,0.0014801601989473242,-0.0009500636522421143,84.44789637423129,85.11972395768292,0.3394082621493087
2015,1,0.0013961708964929857,0.0014645488433319804,0.0014930536217369569,-0.0009756372961015752,82.71731067492999,84.49290395344231,0.40673051385486053
2015,2,0.0014137409366442816,0.0014765731027718352,0.0015261827815682334,-0.001037026713721514,80.98717676903478,82.39205643815492,0.7817209313021222
2015,3,0.00142161545675714,0.00147203702544708,0.0015366538761750323,-0.0010724154219496035,79.20372699733448,80.91537727974908,0.4853104327838753
