Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA-E,ISA-E_pred,Erro
2013,2,0.0013598782798331887,0.0013998303299833698,0.0014838160301648723,-0.001066263336273253,104.29748715061815,102.05390431834118,1.352913768772312
2013,3,0.0013564820524282711,0.0013985738977531365,0.0014732562422845965,-0.0010420880042822797,103.72437184998617,102.97418875838007,0.915779102187725
2013,4,0.0013532221022657025,0.0013972716356670082,0.001462962243867349,-0.0010187570696580947,103.1364326760251,102.86780843956812,0.5285283707421186
2013,5,0.0013500819091886624,0.0013959268261024395,0.001452938738731637,-0.0009962881207331814,102.533462278356,102.49636906306843,0.11647640808019265
2013,6,0.0013470280127487744,0.0013945448561051316,0.0014431742970690109,-0.0009746511191017701,101.9159717524877,101.87388084201373,0.12111255233014291
2013,7,0.0013440381878384935,0.0013931677176102022,0.0014336702006966019,-0.0009537738774685055,101.28455793822836,101.0142987130391,0.13809400762338597
2013,8,0.001341117714439766,0.0013918737675706484,0.0014244596799539665,-0.0009335969758440939,100.6398992868909,100.43744792314786,0.06543787184750602
2013,9,0.0013382909080655993,0.0013907354075925235,0.0014155731926514742,-0.0009140642910662123,99.9831618428673,99.83679301841171,0.1894649532629346
2013,10,0.0013355974785315924,0.0013898081896095331,0.001407029173514371,-0.000895118027214178,99.31568746351903,99.18048693443761,0.14263513723462184
2013,11,0.0013331229083336186,0.001389153544628412,0.001398855528115857,-0.000876714355818967,98.63888363487051,98.67997548418768,0.05776581138741809
2013,12,0.0013309818710132216,0.00138876157862119,0.0013910908043486654,-0.0008589989370958274,97.95300626292823,97.97726115978236,0.1371160344063943
2014,1,0.0013293608641542188,0.0013884929134741297,0.0013839075087223596,-0.0008426774836306467,97.24344974584709,97.34865983237773,0.07141317156948566
2014,2,0.0013285923382142333,0.001388029717296196,0.0013778974384465814,-0.0008298877055300029,96.29880455937192,96.05227398188043,0.1877501296401662
2014,3,0.001329598349156218,0.0013888983759423141,0.0013768876226501808,-0.000827859135383107,95.28238130908706,95.00184733032125,0.1667616987414623
2014,4,0.001333033392214543,0.001392432531703641,0.0013824507187411275,-0.0008373561960680048,94.18568711239494,94.28864848036089,0.15425239656620798
2014,5,0.0013395718481797835,0.0013988281096016509,0.0013943931070975767,-0.0008563397539687906,92.99798262570958,93.1634429791744,0.07487739980902879
2014,6,0.0013476760808118174,0.0014056520063461487,0.0014085104018826036,-0.0008787556054264064,91.7109749829527,92.33920813974608,0.3889384223081921
2014,7,0.0013554443132820578,0.0014113513739821065,0.0014217479310260637,-0.0009012661145490331,90.32692559325207,91.0818504720907,0.4636910683010171
2014,9,0.0013621740079566111,0.0014161589826266667,0.0014337331391103653,-0.0009230055031535784,88.8592276079476,89.78499932751862,0.3911816084452202
2014,10,0.0013682994434539963,0.0014211077096997894,0.0014453808543643777,-0.0009438463063762105,87.32108419474264,88.2030188304611,0.5941605837796948
2014,11,0.001374328549063404,0.001427299382188205,0.0014569425008003414,-0.0009620264621879312,85.7259028372872,86.5653202669481,0.37960188933513883
2014,12,0.0013803518486802942,0.0014347924262950965,0.0014679066386651786,-0.0009765818798821483,84.08954311176967,85.63554977697682,0.4057385870397018
2015,1,0.0013865671239815976,0.0014429731969519805,0.0014784782652351094,-0.0009889193962125155,82.43457077917411,83.81418229790812,0.7932866143068406
2015,2,0.0013932577145797345,0.0014511783963566467,0.0014893250607131054,-0.0010015428617772325,80.79155826695808,82.20017523714786,0.46027917822075165
2015,3,0.0014003451155830062,0.0014582755054668678,0.001501125572527142,-0.0010175862256548954,79.20313605959153,82.06879584933985,1.072521356595037
2015,4,0.0014070129570536293,0.0014633220119667596,0.00151341038444672,-0.0010374961200448284,77.70427831958416,79.98071389996493,0.9823808901710738
2015,5,0.00141246668043408,0.0014669222367240115,0.0015242715597256467,-0.001056179035574119,76.32309995724168,76.60425458980933,0.3019099734895166
2015,6,0.0014164716303878414,0.0014703827099501006,0.0015324931595085255,-0.0010689429721096506,75.06917203738911,74.80618220157342,0.16477677766930815
2015,7,0.0014187621505733416,0.0014730294815209026,0.0015373355986951721,-0.00107583908120123,73.94507972730295,73.84302813420088,0.19928381296810466
2015,8,0.0014189465198061173,0.0014732240211627113,0.0015382860000059042,-0.0010785475069573012,72.958224137143,72.8977493881809,0.11900218719755815
2015,9,0.0014176311788711498,0.0014710564498487647,0.0015364968743166944,-0.0010790716317110528,72.12486574756828,72.18675302296582,0.08085331833807595
2015,10,0.0014154105503461278,0.0014675011021857568,0.0015328746950338263,-0.001077488886224184,71.46380172642505,71.5905261826755,0.09707219502775331
2015,11,0.00141274608092686,0.0014636103808247725,0.0015281505446040691,-0.0010735350064527724,70.98605046485626,71.12933518637513,0.07422810919110351
2015,12,0.0014100917186034997,0.0014602280890690124,0.0015230434144316094,-0.0010673288480242368,70.68480207751114,70.87075962625045,0.07631559398963372
2016,1,0.0014074426260055515,0.001457336053926164,0.0015175935992772446,-0.0010590435557596787,70.53923054412718,70.7339410546446,0.07779234088679275
2016,2,0.0014045627646462272,0.001454447202071176,0.0015116629331443788,-0.0010493201451005757,70.52692482476583,70.68104574104704,0.04382513212306993
2016,3,0.001401159818666325,0.001450827272957612,0.0015049333529080584,-0.0010387590997702012,70.63637692793252,70.70361941984274,0.028337651126267134
2016,4,0.0013966742669698589,0.0014455886308388532,0.0014966893546490157,-0.0010271976063118526,70.86975729150812,70.85369465643059,0.04154736887231069
