Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,EPU,EPU_pred,Erro
2013,2,0.001397788242572047,0.0013789175256112348,0.0015130456423135868,-0.0011904901051900312,116.29655401319498,152.19333313465341,12.013911237883852
2013,3,0.0013806965502424343,0.0013805262846836165,0.001494046442907771,-0.0011381863878171894,125.65228989537307,147.92656248573383,12.256400528859281
2013,4,0.001365623732228626,0.0013841234875245495,0.0014776668506930977,-0.0010886547006373885,135.34085430891935,150.96651930677598,9.736307037328832
2013,5,0.0013524502938078349,0.00138934060529439,0.001463502153951131,-0.0010416125958089668,145.374814697931,155.1474826347344,8.259721523203348
2013,6,0.001340072088200194,0.0013941728882133093,0.0014497718900201516,-0.0009964735558210763,150.41872453177345,160.65214938473227,11.891788289338017
2013,7,0.001335567800147861,0.0014033348123183758,0.0014381803539873686,-0.0009467693084629372,149.37658637877755,151.13819092819082,12.414120837251364
2013,8,0.0013349488911211687,0.0014132277480442567,0.0014234153484904922,-0.0008871793423639911,144.4602948166425,152.0776144020786,13.761711111246004
2013,9,0.0013334449593731265,0.001416720468218117,0.0014039409272082384,-0.000828582887450326,136.88712329571428,153.16465632769123,15.252077071235734
2013,10,0.0013312000555066432,0.0014124905250653753,0.0013818431635114342,-0.0007812325107298212,127.37311857002504,137.76260342942595,16.089208055111175
2013,11,0.0013293042068325252,0.0014008909614064658,0.001362733036898188,-0.000752155403975978,122.0154623453935,134.01951061813062,9.04084313357284
2013,12,0.0013261840226690038,0.0013847507650568886,0.0013507996555852857,-0.0007506998547050931,129.96472670583634,149.10001946046512,12.904483282299347
2014,1,0.0013207631300527923,0.0013658462332032455,0.0013469250204342005,-0.0007716484139577225,147.67071655019544,161.20066615132276,16.64993114394681
2014,2,0.0013155201412370318,0.0013479095709182797,0.001358951087907764,-0.0008029880798497677,157.51564026626718,179.84178361219426,15.140292208385446
2014,3,0.0013175808071100826,0.001340157152668935,0.001392603948947832,-0.0008463233365560239,155.0628548308398,175.0172122873013,18.69256716974501
2014,4,0.0013076391237111643,0.0013379389560344095,0.0014213145862023815,-0.000889064214233303,147.0650901425412,156.95580712629058,8.122683285922044
