Ano,Mes,IE-E_s_0.0,IE-E_pred_s_0.0,Erro_s__s_0.0,IE-E_s_0.05,IE-E_pred_s_0.05,Erro_s__s_0.05,IE-E_s_0.1,IE-E_pred_s_0.1,Erro_s__s_0.1,IE-E_s_0.15,IE-E_pred_s_0.15,Erro_s__s_0.15,IE-E_s_0.2,IE-E_pred_s_0.2,Erro_s__s_0.2,IE-E_s_0.25,IE-E_pred_s_0.25,Erro_s__s_0.25
2019,9,97.8,86.47682737536009,1.48198588558675,97.58860950094724,79.16386929325202,4.651901674393585,98.12812689011105,96.12804949464123,1.2969203197576555,97.77106985086048,96.67425956072944,0.7190599963212732,96.89603892308597,97.58174467506898,0.19797751026191127,96.5546382467015,97.86876043844845,0.21890340098988906
2019,10,97.9,84.50939886363986,2.0321350561212292,97.50919165448333,84.3885840199664,5.1205011356145915,98.09784311679327,96.34353161606349,0.6809197776900835,97.57251906605819,97.16351179177796,0.3920765264836894,96.82630253805965,97.62739485824048,0.11082194741612476,96.58763002603293,97.81424407701732,0.3743068962778048
2019,11,99.1,92.39324085231164,2.2574727649327286,95.66245468756694,87.64477607974406,5.414943018649428,97.989384214202,97.33798178624569,0.18310590629924908,97.36462711085241,97.16766377193385,0.29143683091489,96.75720094656832,96.80938456285392,1.515933869755015,96.61896899963263,97.88955232203348,0.2592507551287392
2019,12,100.1,96.76177152655129,0.351985753049822,93.67464181904606,94.69692950533555,0.9887853438805974,97.83080371625815,97.77774223619497,0.194401132374482,97.16658766662457,96.35573573851617,0.8169906167216,96.68835334213173,96.2892259995635,2.320304981953704,96.64853217918477,97.82783463824258,0.32416786487032184
2020,1,100.8,95.95973029065003,1.1635260566073857,91.70568462075342,95.46031192563083,0.6621530364531933,97.64798974292204,98.68664610787731,1.081441651635863,96.97822104989856,95.19298181375753,0.8653343367171691,96.61934840576588,95.971861607248,2.017386044354037,96.67617435062508,97.7681019308678,0.181400438096924
2020,2,101.3,87.34663570037702,4.8849189362797825,90.42320695504374,91.92313838848474,1.778605198560387,97.46741148824925,97.0892236407409,1.4059842563997373,96.79608192030636,94.63157857699774,0.2537212271031467,96.54973524780341,96.14841166774492,0.4914515847034467,96.70171937666844,97.66583790406574,0.07525475417231808
2020,3,86.7,98.06930902738223,0.8148776922138644,89.36354889649694,91.16039577626124,1.4449424454569675,97.28909099663981,93.97123260194802,0.9322787948492745,96.61709341000925,93.79089507036824,0.556274536542157,96.4790171687988,96.00313908579898,0.15897996660233552,96.72495618973012,97.53640845396401,0.10469367706799257
2020,4,50.3,78.44397259538559,1.8437493287387838,87.39184589399707,87.07159104600983,1.3555155630958553,96.91792860852803,91.93369789994946,0.9227694791884047,96.43895280768305,91.92883899918965,1.087921245163614,96.40669209966168,95.82699084799448,0.2118667812419163,96.74565892761977,97.45104073726185,0.06989082151871744
2020,5,62.6,78.5395998750727,5.069383844769654,87.15129268165659,85.0445106620767,2.893725330082589,96.56503878031701,91.19235109942784,0.7607384920051741,96.26023216855651,92.92801206151192,1.6136276465361925,96.33239149587237,95.71546344367486,0.23676299020510083,96.76365843195723,97.12299009472146,0.057160678074275585
2020,6,82.9,87.66635949055289,3.6289382985424976,87.88541286847072,94.18871141551212,1.1655838341013924,96.22071174803989,91.15732664796398,0.6106070425398091,96.08000237680392,90.91505921484888,0.6857159548510016,96.25581984060095,95.46184554973823,0.3464011741558536,96.77881334131463,96.78516638194871,0.03830613573952733
2020,7,90.0,89.38054715420132,2.0185934355592425,88.88911422021324,94.42304173142209,1.3999071326911667,95.87409150391795,94.08645844868275,0.6808669983789267,95.89760840482022,91.84974592342301,0.49264067251494076,96.17672631999092,95.415905180223,0.08388235805682244,96.79100141957848,96.51142694746788,0.05098538653308764
2020,8,96.6,100.44218694966439,0.599421108134746,89.75291246650106,98.50551144812712,0.6535291308715554,95.52181237124309,97.92648478321236,1.52332482310012,95.7126455436494,83.9445267869446,2.84599167394891,96.09493340006941,95.22920203438254,0.10343646754071888,96.80014416733304,96.07070739713764,0.04095712956265477
2020,9,101.4,96.14059500606176,1.846151415846246,90.80963532405323,95.49218195504297,1.6420845230919736,95.16472519533106,98.5951346298421,1.0228123192531078,95.52508839471625,89.67335841212424,2.3910562357623344,96.01040355930961,94.86759982264304,0.24398639203468378,96.8062327466217,95.80778983911419,0.09269728869131431
2020,10,98.3,99.86875040734104,0.551238467465021,91.59110960114745,98.300968698392,0.20152147587483393,94.80357811255777,98.86380546014476,0.7278210499835256,95.33485624707893,90.6517097697265,1.180461044296593,95.92309816816136,94.70809973383332,0.4018624545397233,96.80926797986771,95.51642868208047,0.172686423196886
2020,11,94.2,91.6032676236211,3.8137973541897745,92.25040973023926,91.69253951032239,3.0140701058040635,94.43809649628177,97.29614003994064,0.7982213521830489,95.14155057424551,91.40023418131172,0.6620226066632733,95.83286278239318,94.47149525559313,0.5591435596512266,96.80920508460494,95.31961969850103,0.45543337365567593
2020,12,94.5,98.61421007528236,0.8486045273211077,92.83200381803903,95.63539971050133,0.9418526611806145,94.06709068092708,96.84386447377217,1.296365196655845,94.94457146412608,91.60167746529235,1.3101269020412327,95.73948239289966,94.15581017234464,0.4658872870021642,96.80598292297711,95.12218374469553,0.8206891899469853
2021,1,92.7,87.19084243171872,3.6327571415542015,93.33393071655647,86.31678769824835,1.8493460545094593,93.68950147525284,96.07264613193831,1.910104929541039,94.7434441960938,91.88733518452696,1.4596288569679243,95.64280460483216,93.84676672530793,0.43242053513005313,96.79957862800215,94.73068341887182,0.7597139463850794
