Ano,Mes,IBC_BR_s_0.0,IBC_BR_pred_s_0.0,Erro_s__s_0.0,IBC_BR_s_0.05,IBC_BR_pred_s_0.05,Erro_s__s_0.05,IBC_BR_s_0.1,IBC_BR_pred_s_0.1,Erro_s__s_0.1,IBC_BR_s_0.15,IBC_BR_pred_s_0.15,Erro_s__s_0.15,IBC_BR_s_0.2,IBC_BR_pred_s_0.2,Erro_s__s_0.2,IBC_BR_s_0.25,IBC_BR_pred_s_0.25,Erro_s__s_0.25
2019,10,138.86,136.71650847633728,0.925842568575317,138.67940253772593,137.04011303954655,0.7924813628370431,138.435708630425,138.23715765489422,0.3462282683826017,138.29636496825643,138.43187126432753,0.06262650964824107,138.40601952647305,138.27735693633088,0.054935180049238704,138.50321634961568,138.42913039225937,0.01071142440350146
2019,11,138.66,138.38055700378524,0.49113067344956063,138.56414613952364,139.49896582079765,1.1938225596486995,138.43957930657564,138.27552072535192,0.1736787740824352,138.02722408184243,138.29124769229966,0.0580784853709888,138.34308431912189,138.0820899845426,0.10095920579658589,138.47022430017054,138.38883655178452,0.00980412852038463
2019,12,138.12,141.10257429106193,2.9077006380013692,138.2787844169114,139.4216913889058,2.6498195459434366,137.87094273342615,138.29970426604842,0.13080411527078636,137.63085125099906,138.3587464535755,0.1968087815121945,138.27918310151586,137.91828949946887,0.14335926782258684,138.34832849254983,138.4650256507854,0.011068699151648107
2020,1,138.15,140.74924482010485,1.8607394442903518,138.14999999999966,138.23870854006734,0.17153462229752178,136.56688349357,137.94316150477496,0.06897563854082013,136.94434126815162,137.59195388691265,0.3713355817810329,138.11311484253991,138.33213402265434,0.4497112767296242,138.18291062075073,138.35932138885957,0.0024219530369596507
2020,2,139.36,139.58541133447238,1.321880995534529,139.36,138.60593805300266,1.6945268199211925,135.05981980316307,137.08769097405602,0.4965033807606668,136.03530284265227,137.2538542641474,0.2536830506623304,137.70855651708666,137.99959397083958,0.808131362554326,138.06648563053528,138.21489566524065,0.020419589146582286
2020,3,132.99,143.80033959428766,2.309986653250896,132.99,139.65378981893397,1.5512774800563474,133.1465408825839,136.05291435274486,0.6062078835510023,135.7172451922403,136.5542156619104,0.11330888153498704,137.45209509669786,137.97519147833205,0.7628555518295503,138.0163338983163,138.0528886448256,0.05283640925915328
2020,4,119.93,137.930025548526,1.2281896305034214,119.93,137.2901784346133,0.4693137739965337,132.78550071074682,134.25390995849688,0.42205499261194707,135.55313612450982,136.49016861357288,0.31123730878045364,137.3940133692243,138.07992505756346,0.5603501239837515,138.0041299206712,137.96342922553964,0.08422528131791945
2020,5,121.88,137.07543292211597,1.4934955174206266,121.88,135.34299622540422,0.6277404570700823,132.40739259410827,134.07271437275594,0.944713725669595,135.14521969535087,137.3983735265041,0.946687490158499,137.38723640808948,137.84255252927517,0.7518544046608525,138.07719876702978,137.98913513368143,0.0403205401603646
2020,6,128.23,138.83578021513472,1.7315821752271259,128.22999999999865,136.0329578221741,0.6069555837516507,132.16979699544532,133.6159391502711,0.34861327652521934,134.2591273647615,136.95279010997984,0.5134146853981295,137.3435497859243,137.0843717275159,1.0417426031289527,138.1415531457882,137.9962149616353,0.08902612088528544
2020,7,131.5,136.97998346912175,2.877854249527865,131.23150430472256,136.79139682689924,1.560997768916562,131.44610550205883,134.4598597083945,0.7903157650869098,133.60688078416172,135.7732816914178,0.85985911934966,137.46141810917845,138.1972682226083,0.4068581760746965,138.1913179046648,138.1263329683652,0.011381181412307623
2020,8,133.25,140.71952920669725,1.8610272967109818,133.3618277260381,139.15344320249324,0.8244751806470559,133.31302138317233,136.15760147208232,0.8320722278798416,134.04445747270307,141.66701174785118,1.8286421321058337,137.58385795566204,137.85585941253814,0.2558528930063293,138.23032157058896,138.18070202415558,0.0014271429564213767
2020,9,135.44,138.80290099136653,1.7430899125188133,135.16733328596138,137.25030643781218,1.2527809156882406,134.8993104307989,137.4208305871924,0.4979715939417808,135.01824089124486,137.99637831291713,2.145182757129505,137.73953313759344,137.76962692484994,0.19737188139674633,138.2615655679913,138.20600599980781,0.0007629915466514579
2020,10,136.72,139.5177684301219,2.924084306210238,136.61914381598237,136.91261139131672,0.35612760319413206,136.29914614199146,137.27211121705488,0.2581808425544519,136.3179710198833,136.52445780981483,1.410852346005009,137.93694881033187,137.67413539444976,0.1656909436414195,138.28745034916696,138.23493164700426,0.005303878398289405
2020,11,137.64,139.69062116632836,2.429771406369406,137.6286405782789,137.36709639996192,1.1785502939386767,137.57247779003114,143.00287684821657,0.5240931119291221,137.65980590751485,137.92826492356912,1.0971286667567355,138.18019433509318,137.87638236202517,0.18207806967261725,138.31101926410602,138.26159999196508,0.00151041490198221
2020,12,138.52,138.64707202473224,2.3750455931700136,138.63267469509012,137.02005717662487,1.2620306160833556,138.46404322018904,139.73390168555997,1.1600241340622472,139.00937279819792,138.10615483397098,0.6645544697823531,138.4723325705828,138.0946978893371,0.22718488352909405,138.33576626163105,138.27624424271292,6.846306958916384e-05
2021,1,139.79,145.3983339683268,0.3779594342318968,139.789999999997,145.0393744102681,0.26663728246038193,139.24065433043071,139.41434557694689,0.9468839776065849,140.35622797613294,138.93392394256796,0.13824334190675805,138.814407782554,138.38724694632504,0.2666353393576394,138.36494094444356,138.2953486353963,0.001183160426707039
2021,2,142.43,145.4775669248121,0.3475657928793195,139.975,145.100080888154,0.2465700221429575,140.01727186049885,140.4304105224162,1.0008515941089815,141.70122111561568,139.7962962676341,0.17177377957840193,139.20521639316894,138.62678973583655,0.1250263015720899,138.4009020103071,138.31713010503822,0.0019678449113086868
