Indice,Nd,Regressao,tsw,Ano,Mes,Real,Previsto,Real-Previsto,Real-Previsto(%),Erro,EQM(%)
IBC_BR,0,rf,0,2019,5,139.17,138.9662299999999,0.20377000000007683,0.14641804986712428,1.1022612834986532,0.8054451871652629
IBC_BR,0,rf,0,2019,6,139.16,138.87587999999988,0.28412000000011517,0.2041678643289129,1.2554508969290616,0.9249776853540396
IBC_BR,0,rf,0,2019,7,138.43,138.42507499999988,0.004925000000127966,0.003557754822024103,0.4807222668807733,0.34728562777811406
IBC_BR,0,rf,0,2019,8,137.62,138.16974499999992,-0.5497449999999162,0.3994659206510072,0.28469087529282966,0.4498523432665065
IBC_BR,0,rf,0,2019,9,138.34,137.202835,1.1371650000000102,0.8220073731386514,1.0231745131086092,1.1057653353607508
IBC_BR,0,rf,0,2019,10,138.67,137.38301000000007,1.2869899999999177,0.928095478474016,1.0407004803977007,1.1935627862871696
IBC_BR,0,rf,0,2019,11,138.45,138.44563499999998,0.004365000000007058,0.003152762730232617,0.562868572825844,0.40656229518336534
IBC_BR,0,rf,0,2019,12,138.0,139.93890499999992,-1.9389049999999202,1.405003623188348,0.8911734255884438,1.5463066338170055
IBC_BR,0,rf,0,2020,1,138.2,138.20072499999998,-0.0007249999999885404,0.000524602026040912,0.3794364978161663,0.27455657775288783
IBC_BR,0,rf,0,2020,2,139.35,138.055305,1.2946949999999902,0.9290958019375603,0.48967027934622614,0.9933268014429367
IBC_BR,0,rf,0,2020,3,133.07,141.55478000000005,-8.484780000000057,6.376177951454165,1.6761567160024287,6.499403870590164
IBC_BR,0,rf,0,2020,4,120.43,140.46181000000007,-20.031810000000064,16.633571369260203,1.30494680385832,16.6688279928316
IBC_BR,0,rf,0,2020,5,121.92,138.91590500000007,-16.995905000000064,13.940210793963306,1.3335790836973158,13.983057889444128
IBC_BR,0,rf,0,2020,6,128.25,137.18466999999993,-8.934669999999926,6.966604288498967,0.8662742984182361,6.999272691103204
IBC_BR,0,rf,0,2020,7,131.48,139.13429000000002,-7.654290000000032,5.821638271980554,3.107446554793894,6.283096779349086
IBC_BR,0,rf,0,2020,8,133.2,139.26734999999994,-6.067349999999948,4.555067567567528,1.112735742887783,4.631037930054839
IBC_BR,0,rf,0,2020,9,135.36,138.295905,-2.935904999999991,2.168960549645383,0.8523939995536091,2.258526467311512
IBC_BR,0,rf,0,2020,10,136.63,138.52375000000006,-1.8937500000000682,1.386042596794312,1.0278535039099637,1.5770396217086948
IBC_BR,0,rf,0,2020,11,137.46,137.41302000000007,0.04697999999993385,0.03417721518982529,0.5187755946456966,0.378945504925759
IBC_BR,0,rf,0,2020,12,138.17,136.90208,1.2679199999999753,0.9176521676195812,1.54504481475457,1.4465482566530097
IBC_BR,0,rf,0,2021,1,139.01,145.02401500000002,-6.014015000000029,4.326318250485597,0.21209113436206514,4.329007737883575
IBC_BR,0,rf,0,2021,2,141.31,145.19297,-3.8829700000000003,2.7478380864765413,0.19526581395629683,2.751310338164929
IBC_BR,0,rf,0,2021,3,139.04,143.27984499999997,-4.239844999999974,3.0493706846950333,1.1341930080348273,3.1565930005535243
IBC_BR,0,rf,0,2021,4,139.65,141.42883500000008,-1.7788350000000719,1.2737808807734134,1.280548978866056,1.5695069939633703
IBC_BR,1,rf,0,2019,5,139.17,136.9726449999999,2.197355000000101,1.5788999065891367,0.5703206900289027,1.6312149308273312
IBC_BR,1,rf,0,2019,6,139.16,140.05183499999998,-0.8918349999999862,0.6408702213279579,1.260603558726963,1.1096433726344404
IBC_BR,1,rf,0,2019,7,138.43,141.51903,-3.0890299999999797,2.231474391389135,1.3139919151578416,2.424969749480504
IBC_BR,1,rf,0,2019,8,137.62,140.76155,-3.141549999999995,2.2827713995058825,1.5094014106592342,2.5325860286949426
IBC_BR,1,rf,0,2019,9,138.34,138.79568500000002,-0.45568500000001677,0.32939496891717274,0.6895896767462794,0.5974762850643859
IBC_BR,1,rf,0,2019,10,138.67,137.15212500000015,1.517874999999833,1.0945950818488739,0.40475531481994764,1.1328435755608939
IBC_BR,1,rf,0,2019,11,138.45,138.74371,-0.29371000000000436,0.21214156735283812,1.2976770653363725,0.960997042876422
IBC_BR,1,rf,0,2019,12,138.0,138.97565999999998,-0.9756599999999764,0.7069999999999829,1.455087228450607,1.2695005438990123
IBC_BR,1,rf,0,2020,1,138.2,142.32710999999995,-4.127109999999959,2.9863314037626334,1.1305280814291425,3.0963463805068225
IBC_BR,1,rf,0,2020,2,139.35,139.28980499999997,0.06019500000002154,0.043196986006474015,1.3034394383611214,0.9363678870672271
IBC_BR,1,rf,0,2020,3,133.07,144.00549500000014,-10.935495000000145,8.217851506725893,1.9791301267160581,8.351353184178718
IBC_BR,1,rf,0,2020,4,120.43,137.19358500000004,-16.763585000000035,13.919774973013396,0.5518693525418793,13.92731587591858
IBC_BR,1,rf,0,2020,5,121.92,136.33989000000003,-14.419890000000024,11.827337598425217,0.929970708087075,11.851908481213421
IBC_BR,1,rf,0,2020,6,128.25,141.0394599999999,-12.789459999999906,9.972288499025268,1.1091480308778003,10.009718958711014
IBC_BR,1,rf,0,2020,7,131.48,136.02440999999993,-4.544409999999942,3.4563507757833456,2.0509384971031914,3.7920450854562673
IBC_BR,1,rf,0,2020,8,133.2,142.54136,-9.341360000000009,7.01303303303304,0.9425285599916912,7.048640704222259
IBC_BR,1,rf,0,2020,9,135.36,140.777255,-5.417254999999983,4.002109190307316,1.1275656621567396,4.087883037111567
