,indice,data,Real,Previsto
108,IPCA,2019-10-01,0.1,0.08666667342185974
109,IPCA,2019-11-01,0.51,0.05666666850447655
110,IPCA,2019-12-01,1.15,0.1899999976158142
111,IPCA,2020-01-01,0.21,0.5866666436195374
112,IPCA,2020-02-01,0.25,0.6233333349227905
113,IPCA,2020-03-01,0.07,0.5366666913032532
114,IPCA,2020-04-01,-0.31,0.17666666209697723
115,IPCA,2020-05-01,-0.38,0.0033333301544189453
116,IPCA,2020-06-01,0.26,-0.20666666328907013
117,IPCA,2020-07-01,0.36,-0.1433333307504654
118,IPCA,2020-08-01,0.24,0.08000000566244125
119,IPCA,2020-09-01,0.64,0.2866666615009308
120,IPCA,2020-10-01,0.86,0.41333332657814026
121,IPCA,2020-11-01,0.89,0.5799999833106995
122,IPCA,2020-12-01,1.35,0.7966666221618652
123,IPCA,2021-01-01,0.25,1.0333333015441895
124,IPCA,2021-02-01,0.86,0.8299999833106995
125,IPCA,2021-03-01,0.93,0.8199999928474426
126,IPCA,2021-04-01,0.31,0.6800000071525574
127,IPCA,2021-05-01,0.83,0.699999988079071
128,IPCA,2021-06-01,,0.6899999976158142
129,IPCA,2021-07-01,,0.5699999928474426
130,ISA-E,2019-06-01,90.4,90.4000015258789
131,ISA-E,2019-07-01,90.5,90.4333267211914
132,ISA-E,2019-08-01,91.5,90.33333587646484
133,ISA-E,2019-09-01,91.4,90.79999542236328
134,ISA-E,2019-10-01,92.5,91.13333129882812
135,ISA-E,2019-11-01,92.2,91.79999542236328
136,ISA-E,2019-12-01,93.6,92.0333251953125
137,ISA-E,2020-01-01,93.0,92.76666259765625
138,ISA-E,2020-02-01,92.5,92.9333267211914
139,ISA-E,2020-03-01,91.8,93.03333282470703
140,ISA-E,2020-04-01,61.5,92.4333267211914
141,ISA-E,2020-05-01,64.0,81.93333435058594
142,ISA-E,2020-06-01,72.6,72.43333435058594
143,ISA-E,2020-07-01,79.6,66.03333282470703
144,ISA-E,2020-08-01,88.6,72.0666732788086
145,ISA-E,2020-09-01,92.9,80.26666259765625
146,ISA-E,2020-10-01,96.5,87.03333282470703
147,ISA-E,2020-11-01,98.2,92.66666412353516
148,ISA-E,2020-12-01,98.0,95.86666107177734
149,ISA-E,2021-01-01,95.3,97.5666732788086
150,ISA-E,2021-02-01,93.4,97.16666412353516
151,ISA-E,2021-03-01,,95.5666732788086
152,ISA-E,2021-04-01,,94.35000610351562
153,ISA-E,2021-05-01,,93.4000015258789
154,ISA-E,2021-06-01,,
155,ISA-E,2021-07-01,,
156,selic,2019-06-01,5.79,6.296666622161865
157,selic,2019-07-01,7.06,6.296666622161865
158,selic,2019-08-01,6.17,6.509999752044678
159,selic,2019-09-01,5.66,6.340000152587891
160,selic,2019-10-01,5.91,6.296666622161865
161,selic,2019-11-01,4.66,5.913333415985107
162,selic,2019-12-01,4.53,5.409999847412109
163,selic,2020-01-01,4.66,5.0333333015441895
164,selic,2020-02-01,3.54,4.616666793823242
165,selic,2020-03-01,4.16,4.243333339691162
166,selic,2020-04-01,3.41,4.119999885559082
167,selic,2020-05-01,2.92,3.7033331394195557
168,selic,2020-06-01,2.55,3.496666669845581
169,selic,2020-07-01,2.3,2.9600000381469727
170,selic,2020-08-01,1.94,2.5900001525878906
171,selic,2020-09-01,1.94,2.263333320617676
172,selic,2020-10-01,1.94,2.059999942779541
173,selic,2020-11-01,1.81,1.940000057220459
174,selic,2020-12-01,1.94,1.8966666460037231
175,selic,2021-01-01,1.81,1.8966666460037231
176,selic,2021-02-01,1.57,1.8533333539962769
177,selic,2021-03-01,2.43,1.7733334302902222
178,selic,2021-04-01,2.55,1.9366668462753296
179,selic,2021-05-01,1.69,2.183333396911621
180,selic,2021-06-01,,2.2233333587646484
181,selic,2021-07-01,,2.119999885559082
